timestamp,memory_usage,memory_rate
2025-03-12 03:46:19,7757.56640625,
2025-03-12 03:46:19,9.65234375,-inf
2025-03-12 03:46:19,1343.43359375,inf
2025-03-12 03:46:19,8.140625,-inf
2025-03-12 03:46:19,18.09765625,inf
2025-03-12 03:46:19,7.31640625,-inf
2025-03-12 03:46:19,0.61328125,-inf
2025-03-12 03:46:19,1.53125,inf
2025-03-12 03:46:19,3.265625,inf
2025-03-12 03:46:19,24.125,inf
2025-03-12 03:46:19,79.6484375,inf
2025-03-12 03:46:19,0.453125,-inf
2025-03-12 03:46:19,9.96875,inf
2025-03-12 03:46:19,5.65625,-inf
2025-03-12 03:46:19,4.984375,-inf
2025-03-12 03:46:19,0.1640625,-inf
2025-03-12 03:46:19,60.09765625,inf
2025-03-12 03:46:19,276.953125,inf
2025-03-12 03:46:19,0.0,-inf
2025-03-12 03:46:19,24.6484375,inf
2025-03-12 03:46:19,6.86328125,-inf
2025-03-12 03:46:19,11.32421875,inf
2025-03-12 03:46:19,1.3046875,-inf
2025-03-12 03:46:19,423.60546875,inf
2025-03-12 03:46:19,7.5,-inf
2025-03-12 03:46:19,1.86328125,-inf
2025-03-12 03:46:19,4.10546875,inf
2025-03-12 03:46:19,0.6875,-inf
2025-03-12 03:46:19,75.296875,inf
2025-03-12 03:46:19,0.0,-inf
2025-03-12 03:46:19,0.0078125,inf
2025-03-12 03:46:19,1.74609375,inf
2025-03-12 03:46:19,0.0,-inf
2025-03-12 03:46:19,0.21484375,inf
2025-03-12 03:46:19,0.0859375,-inf
2025-03-12 03:46:19,1.140625,inf
2025-03-12 03:46:19,41.1875,inf
2025-03-12 03:46:19,3.54296875,-inf
2025-03-12 03:46:19,2.10546875,-inf
2025-03-12 03:46:19,8.35546875,inf
2025-03-12 03:46:19,1.53125,-inf
2025-03-12 03:46:19,34.6796875,inf
2025-03-12 03:46:19,0.0,-inf
2025-03-12 03:46:19,9.85546875,inf
2025-03-12 03:46:19,10.95703125,inf
2025-03-12 03:46:19,3.59375,-inf
2025-03-12 03:46:19,5.5078125,inf
2025-03-12 03:46:19,6670.5703125,inf
2025-03-12 03:46:19,6269.05078125,-inf
2025-03-12 03:46:19,7.99609375,-inf
2025-03-12 03:46:19,6243.6484375,inf
2025-03-12 03:46:19,3949.1953125,-inf
2025-03-12 03:46:19,2.44921875,-inf
2025-03-12 03:46:19,21.8046875,inf
2025-03-12 03:46:19,1.14453125,-inf
2025-03-12 03:46:19,79.1484375,inf
2025-03-12 03:46:19,7.90625,-inf
2025-03-12 03:46:19,7.87109375,-inf
2025-03-12 03:46:19,0.00390625,-inf
2025-03-12 03:46:19,0.94921875,inf
2025-03-12 03:46:19,8.77734375,inf
2025-03-12 03:46:19,8.703125,-inf
2025-03-12 03:46:19,22.78515625,inf
2025-03-12 03:46:19,0.94921875,-inf
2025-03-12 03:46:19,3.96875,inf
2025-03-12 03:46:19,0.65234375,-inf
2025-03-12 03:46:19,0.00390625,-inf
2025-03-12 03:46:19,3604.625,inf
2025-03-12 03:46:19,10.5390625,-inf
2025-03-12 03:46:19,14.8984375,inf
2025-03-12 03:46:19,69.7109375,inf
2025-03-12 03:46:19,10.265625,-inf
2025-03-12 03:46:19,31.80859375,inf
2025-03-12 03:46:19,31.7734375,-inf
2025-03-12 03:46:19,3.6015625,-inf
2025-03-12 03:46:19,2288.3203125,inf
2025-03-12 03:46:19,621.28125,-inf
2025-03-12 03:46:19,1.12109375,-inf
2025-03-12 03:46:19,1.48046875,inf
2025-03-12 03:46:19,25.0859375,inf
2025-03-12 03:46:19,0.98828125,-inf
2025-03-12 03:46:19,1.3671875,inf
2025-03-12 03:46:19,1.19921875,-inf
2025-03-12 03:46:19,1.0078125,-inf
2025-03-12 03:46:19,2.66015625,inf
2025-03-12 03:46:19,23.75,inf
2025-03-12 03:46:19,0.90625,-inf
2025-03-12 03:46:19,5.6796875,inf
2025-03-12 03:46:19,1.73828125,-inf
2025-03-12 03:46:19,3.515625,inf
2025-03-12 03:46:19,5.59765625,inf
2025-03-12 03:46:19,6.53515625,inf
2025-03-12 03:46:19,6.6640625,inf
2025-03-12 03:46:19,4.2265625,-inf
2025-03-12 03:46:19,1.04296875,-inf
2025-03-12 03:46:19,0.8046875,-inf
2025-03-12 03:46:19,2.359375,inf
2025-03-12 03:46:19,1.26953125,-inf
2025-03-12 03:46:19,1.5546875,inf
2025-03-12 03:46:19,6.09375,inf
2025-03-12 03:46:19,32.47265625,inf
2025-03-12 03:46:19,301.16796875,inf
2025-03-12 03:46:19,7.9375,-inf
2025-03-12 03:46:19,5.953125,-inf
2025-03-12 03:46:19,45.97265625,inf
2025-03-12 03:46:19,1.26171875,-inf
2025-03-12 03:46:19,274.21484375,inf
2025-03-12 03:46:19,4.8046875,-inf
2025-03-12 03:46:19,4.359375,-inf
2025-03-12 03:46:19,1.421875,-inf
2025-03-12 03:46:19,0.765625,-inf
